label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
Connolly_efg1_concentric_2_coverage,Connolly et al DGE for efg1 concentric colony (rep 2) coverage,"Read coverage, efg1_concentric",efg1_deletion,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_efg1_concentric_2_density,Connolly et al DGE for efg1 concentric colony (rep 2) density,"Read density, efg1_concentric",efg1_deletion,Gene expression,RNA-Seq,density plot,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_efg1_concentric_1_alignments,Connolly et al DGE for efg1 concentric colony (rep 1) alignments,"Aligned strand-specific single-end reads, efg1_concentric",efg1_deletion,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_efg1_concentric_1_coverage,Connolly et al DGE for efg1 concentric colony (rep 1) coverage,"Read coverage, efg1_concentric",efg1_deletion,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_efg1_concentric_1_density,Connolly et al DGE for efg1 concentric colony (rep 1) density,"Read density, efg1_concentric",efg1_deletion,Gene expression,RNA-Seq,density plot,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_WT_control_3_alignments,Connolly et al WT control (rep 3) alignments,"Aligned strand-specific single-end reads, WT control",control,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_WT_control_3_coverage,Connolly et al WT control (rep 3) coverage,"Read coverage, WT control",control,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_WT_control_3_density,Connolly et al WT control (rep 3) density,"Read density, WT control",control,Gene expression,RNA-Seq,density plot,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_WT_control_2_alignments,Connolly et al WT control (rep 2) alignments,"Aligned strand-specific single-end reads, WT control",control,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_WT_control_2_coverage,Connolly et al WT control (rep 2) coverage,"Read coverage, WT control",control,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_WT_control_2_density,Connolly et al WT control (rep 2) density,"Read density, WT control",control,Gene expression,RNA-Seq,density plot,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_WT_control_1_alignments,Connolly et al WT control (rep 1) alignments,"Aligned strand-specific single-end reads, WT control",control,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Connolly,23895281
Connolly_WT_control_1_coverage,Connolly et al WT control (rep 1) coverage,"Read coverage, WT control",control,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Connolly,23895281
