label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
,,,,,,,,,,
Bhakt_WT_casp_rep2_density,Bhakt et al WT caspofungin  (rep 2) density,"Read density, BG2 caspofungin",caspofungin,Gene Expression,RNA-Seq,Density plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_casp_rep1_alignments,Bhakt et al WT caspofungin (rep 1) alignments,"Aligned non-strand-specific paired-end reads, BG2 caspofungin",caspofungin,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_casp_rep1_coverage,Bhakt et al WT caspofungin  (rep 1) coverage,"Read coverage, BG2 caspofungin",caspofungin,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_casp_rep1_density,Bhakt et al WT caspofungin  (rep 1) density,"Read density, BG2 caspofungin",caspofungin,Gene Expression,RNA-Seq,Density plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_control_rep2_alignments,Bhakt et al WT control (rep 2) alignments,"Aligned non-strand-specific paired-end reads, BG2 control",untreated,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_control_rep2_coverage,Bhakt et al WT control  (rep 2) coverage,"Read coverage, BG2 control",untreated,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_control_rep2_density,Bhakt et al WT control  (rep 2) density,"Read density, BG2 control",untreated,Gene Expression,RNA-Seq,Density plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_control_rep1_alignments,Bhakt et al WT control (rep 1) alignments,"Aligned non-strand-specific paired-end reads, BG2 control",untreated,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_control_rep1_coverage,Bhakt et al WT control  (rep 1) coverage,"Read coverage, BG2 control",untreated,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_control_rep1_density,Bhakt et al WT control  (rep 1) density,"Read density, BG2 control",untreated,Gene Expression,RNA-Seq,Density plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Vu_upc2a_rep3_alignments,Vu et al DGE for upc2a (rep 3) alignments,"Aligned non-strand-specific paired-end reads, upc2a mutant",mutant,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Vu,34591857
Vu_upc2a_rep3_coverage,Vu et al DGE for upc2a (rep 3) coverage,"Read coverage, upc2a mutant",mutant,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Vu,34591857
Vu_upc2a_rep3_density,Vu et al DGE for upc2a (rep 3) density,"Read density, upc2a mutant",mutant,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Vu,34591857
Vu_upc2a_rep2_alignments,Vu et al DGE for upc2a (rep 2) alignments,"Aligned non-strand-specific paired-end reads, upc2a mutant",mutant,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Vu,34591857
Vu_upc2a_rep2_coverage,Vu et al DGE for upc2a (rep 2) coverage,"Read coverage, upc2a mutant",mutant,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Vu,34591857
Vu_upc2a_rep2_density,Vu et al DGE for upc2a (rep 2) density,"Read density, upc2a mutant",mutant,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Vu,34591857
Vu_upc2a_rep1_alignments,Vu et al DGE for upc2a (rep 1) alignments,"Aligned non-strand-specific paired-end reads, upc2a mutant",mutant,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Vu,34591857
Vu_upc2a_rep1_coverage,Vu et al DGE for upc2a (rep 1) coverage,"Read coverage, upc2a mutant",mutant,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Vu,34591857
Vu_upc2a_rep1_density,Vu et al DGE for upc2a (rep 1) density,"Read density, upc2a mutant",mutant,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Vu,34591857
Vu_WT_rep3_alignments,Vu et al WT control (rep 3) alignments,"Aligned non-strand-specific paired-end reads, WT control",wild type,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Vu,34591857
Vu_WT_rep3_coverage,Vu et al WT control (rep 3) coverage,"Read coverage, WT control",wild type,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Vu,34591857
