label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
Ni_ckb1_MMS_rep1_alignments,Ni et al DGE for ckb1 MMS (rep 1) alignments,"Aligned non-strand-specific paired-end reads, ckb1 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_ckb1_MMS_rep1_coverage,Ni et al DGE for ckb1 MMS (rep 1) coverage,"Read coverage, ckb1 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb1_MMS_rep1_density,Ni et al DGE for ckb1 MMS (rep 1) density,"Read density, ckb1 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep3_alignments,Ni et al WT MMS (rep 3) alignments,"Aligned non-strand-specific paired-end reads, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep3_coverage,Ni et al  WT MMS (rep 3) coverage,"Read coverage, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep3_density,Ni et al  WT MMS (rep 3) density,"Read density, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep2_alignments,Ni et al  WT MMS (rep 2) alignments,"Aligned non-strand-specific paired-end reads, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep2_coverage,Ni et al  WT MMS (rep 2) coverage,"Read coverage, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep2_density,Ni et al DGE MMS (rep 2) density,"Read density, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep1_alignments,Ni et al  WT MMS (rep 1) alignments,"Aligned non-strand-specific paired-end reads, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep1_coverage,Ni et al  WT MMS (rep 1) coverage,"Read coverage, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_MMS_rep1_density,Ni et al  WT MMS (rep 1) density,"Read density, WT MMS",wild type 0.01% MMS,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_untreated_rep2_alignments,Ni et al DGE for ckb2 untreated (rep 2) alignments,"Aligned non-strand-specific paired-end reads, ckb2 mutant untreated",mutant untreated,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_untreated_rep2_coverage,Ni et al DGE for ckb2 untreated (rep 2) coverage,"Read coverage, ckb2 mutant untreated",mutant untreated,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_untreated_rep2_density,Ni et al DGE for ckb2 untreated (rep 2) density,"Read density, ckb2 mutant untreated",mutant untreated,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_untreated_rep3_alignments,Ni et al WT control (rep 3) alignments,"Aligned non-strand-specific paired-end reads, WT control",wild type untreated,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_WT_untreated_rep3_coverage,Ni et al  WT control (rep 3) coverage,"Read coverage, WT control",wild type untreated,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_untreated_rep3_density,Ni et al  WT control (rep 3) density,"Read density, WT control",wild type untreated,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_untreated_rep2_alignments,Ni et al  WT control (rep 2) alignments,"Aligned non-strand-specific paired-end reads, WT control",wild type untreated,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_WT_untreated_rep2_coverage,Ni et al  WT control (rep 2) coverage,"Read coverage, WT control",wild type untreated,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_untreated_rep2_density,Ni et al DGE control (rep 2) density,"Read density, WT control",wild type untreated,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_WT_untreated_rep1_alignments,Ni et al  WT control (rep 1) alignments,"Aligned non-strand-specific paired-end reads, WT control",wild type untreated,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_WT_untreated_rep1_coverage,Ni et al  WT control (rep 1) coverage,"Read coverage, WT control",wild type untreated,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
